Set,#,Name,Rarity,Price
BS,95,Switch,Common,0.28
BS,96,Double Colorless Energy,Uncommon,5.09
BS,97,Fighting Energy,,0.28
BS,98,Fire Energy,,0.3
BS,99,Grass Energy,,0.24
BS,100,Lightning Energy,,0.35
BS,101,Psychic Energy,,0.43
BS,102,Water Energy,,0.27
JU,1,Clefable,Rare Holo,19.87
JU,2,Electrode,Rare Holo,14.47
JU,3,Flareon,Rare Holo,45.94
JU,4,Jolteon,Rare Holo,52.32
JU,5,Kangaskhan,Rare Holo,8.43
JU,6,Mr. Mime,Rare Holo,19.98
JU,7,Nidoqueen,Rare Holo,22.89
JU,8,Pidgeot,Rare Holo,25.14
JU,9,Pinsir,Rare Holo,19.66
JU,10,Scyther,Rare Holo,28.23
JU,11,Snorlax,Rare Holo,52.38
JU,12,Vaporeon,Rare Holo,20.01
JU,13,Venomoth,Rare Holo,16.91
JU,14,Victreebel,Rare Holo,20.89
JU,15,Vileplume,Rare Holo,20.27
JU,16,Wigglytuff,Rare Holo,23.16
JU,17,Clefable,Rare,2.95
JU,18,Electrode,Rare,3.49
JU,19,Flareon,Rare,6.37
JU,20,Jolteon,Rare,9.09
JU,21,Kangaskhan,Rare,3.51
JU,22,Mr. Mime,Rare,5.36
JU,23,Nidoqueen,Rare,4.01
JU,24,Pidgeot,Rare,4.11
JU,25,Pinsir,Rare,3.05
JU,26,Scyther,Rare,10.98
JU,27,Snorlax,Rare,7.16
JU,28,Vaporeon,Rare,6.03
JU,29,Venomoth,Rare,2.68
JU,30,Victreebel,Rare,4.34
JU,31,Vileplume,Rare,3.2
JU,32,Wigglytuff,Rare,4.59
JU,33,Butterfree,Uncommon,0.85
JU,34,Dodrio,Uncommon,0.67
JU,35,Exeggutor,Uncommon,0.78
JU,36,Fearow,Uncommon,0.68
JU,37,Gloom,Uncommon,0.48
JU,38,Lickitung,Uncommon,0.77
JU,39,Marowak,Uncommon,0.72
JU,40,Nidorina,Uncommon,0.36
JU,41,Parasect,Uncommon,0.53
JU,42,Persian,Uncommon,0.56
JU,43,Primeape,Uncommon,0.61
JU,44,Rapidash,Uncommon,0.7
JU,45,Rhydon,Uncommon,0.6
JU,46,Seaking,Uncommon,0.55
JU,47,Tauros,Uncommon,0.43
JU,48,Weepinbell,Uncommon,0.36
JU,49,Bellsprout,Common,0.25
JU,50,Cubone,Common,0.31
JU,51,Eevee,Common,0.5
JU,52,Exeggcute,Common,0.26
JU,53,Goldeen,Common,0.31
JU,54,Jigglypuff,Common,0.35
JU,55,Mankey,Common,0.33
JU,56,Meowth,Common,0.42
JU,57,Nidoran Female,Common,0.28
JU,58,Oddish,Common,0.25
JU,59,Paras,Common,0.3
JU,60,Pikachu,Common,0.94
JU,61,Rhyhorn,Common,0.32
JU,62,Spearow,Common,0.31
JU,63,Venonat,Common,0.27
JU,64,Poké Ball,Common,0.16
Wizards Black Star Promos,1,Pikachu,Promo,6.67
FO,1,Aerodactyl,Rare Holo,24.66
FO,2,Articuno,Rare Holo,-1
FO,3,Ditto,Rare Holo,21.51
FO,4,Dragonite,Rare Holo,69.72
FO,5,Gengar,Rare Holo,61.96
FO,6,Haunter,Rare Holo,21.36
FO,7,Hitmonlee,Rare Holo,20.32
FO,8,Hypno,Rare Holo,17.03
FO,9,Kabutops,Rare Holo,18.47
FO,10,Lapras,Rare Holo,10.56
FO,11,Magneton,Rare Holo,9.34
FO,12,Moltres,Rare Holo,34.94
FO,13,Muk,Rare Holo,4.98
FO,14,Raichu,Rare Holo,22.79
FO,15,Zapdos,Rare Holo,16.51
FO,16,Aerodactyl,Rare,4.09
FO,17,Articuno,Rare,5.86
FO,18,Ditto,Rare,3.78
FO,19,Dragonite,Rare,11.57
FO,20,Gengar,Rare,7.94
FO,21,Haunter,Rare,4.13
FO,22,Hitmonlee,Rare,5.09
FO,23,Hypno,Rare,4.13
FO,24,Kabutops,Rare,3.8
FO,25,Lapras,Rare,4.13
FO,26,Magneton,Rare,3.1
FO,27,Moltres,Rare,6.06
FO,28,Muk,Rare,3.83
FO,29,Raichu,Rare,3.88
FO,30,Zapdos,Rare,4.23
FO,31,Arbok,Uncommon,0.6
FO,32,Cloyster,Uncommon,0.59
FO,33,Gastly,Uncommon,0.64
FO,34,Golbat,Uncommon,0.54
FO,35,Golduck,Uncommon,0.75
FO,36,Golem,Uncommon,0.87
FO,37,Graveler,Uncommon,0.57
FO,38,Kingler,Uncommon,0.51
FO,39,Magmar,Uncommon,0.61
FO,40,Omastar,Uncommon,0.79
FO,41,Sandslash,Uncommon,0.67
FO,42,Seadra,Uncommon,0.46
FO,43,Slowbro,Uncommon,0.92
FO,44,Tentacruel,Uncommon,1.1
FO,45,Weezing,Uncommon,0.74
FO,46,Ekans,Common,0.26
FO,47,Geodude,Common,0.26
FO,48,Grimer,Common,0.28
FO,49,Horsea,Common,0.21
FO,50,Kabuto,Common,0.32
FO,51,Krabby,Common,0.24
FO,52,Omanyte,Common,0.27
FO,53,Psyduck,Common,0.37
FO,54,Shellder,Common,0.27
FO,55,Slowpoke,Common,0.34
FO,56,Tentacool,Common,0.3
FO,57,Zubat,Common,0.26
FO,58,Mr. Fuji,Uncommon,0.31
FO,59,Energy Search,Common,0.19
FO,60,Gambler,Common,1.26
FO,61,Recycle,Common,0.15
FO,62,Mysterious Fossil,Common,0.18
Wizards Black Star Promos,7,Jigglypuff,Promo,8.92
Wizards Black Star Promos,2,Electabuzz,Promo,3.69
Wizards Black Star Promos,3,Mewtwo,Promo,14.03
Wizards Black Star Promos,4,Pikachu,Promo,12.45
Wizards Black Star Promos,5,Dragonite,Promo,13.28
Wizards Black Star Promos,8,Mew,Promo,2.61
B2,1,Alakazam,Rare Holo,-1
B2,2,Blastoise,Rare Holo,-1
B2,3,Chansey,Rare Holo,-1
B2,4,Charizard,Rare Holo,-1
B2,5,Clefable,Rare Holo,-1
B2,6,Clefairy,Rare Holo,-1
B2,7,Gyarados,Rare Holo,-1
B2,8,Hitmonchan,Rare Holo,-1
B2,9,Magneton,Rare Holo,-1
B2,10,Mewtwo,Rare Holo,-1
B2,11,Nidoking,Rare Holo,-1
B2,12,Nidoqueen,Rare Holo,-1
B2,13,Ninetales,Rare Holo,-1
B2,14,Pidgeot,Rare Holo,-1
B2,15,Poliwrath,Rare Holo,-1
B2,16,Raichu,Rare Holo,-1
B2,17,Scyther,Rare Holo,-1
B2,18,Venusaur,Rare Holo,-1
B2,19,Wigglytuff,Rare Holo,-1
B2,20,Zapdos,Rare Holo,-1
B2,21,Beedrill,Rare,-1
B2,22,Dragonair,Rare,-1
B2,23,Dugtrio,Rare,-1
B2,24,Electabuzz,Rare,-1
B2,25,Electrode,Rare,-1
B2,26,Kangaskhan,Rare,-1
B2,27,Mr. Mime,Rare,-1
B2,28,Pidgeotto,Rare,-1
B2,29,Pinsir,Rare,-1
B2,30,Snorlax,Rare,-1
B2,31,Venomoth,Rare,-1
B2,32,Victreebel,Rare,-1
B2,33,Arcanine,Uncommon,-1
B2,34,Butterfree,Uncommon,-1
B2,35,Charmeleon,Uncommon,-1
B2,36,Dewgong,Uncommon,-1
B2,37,Dodrio,Uncommon,-1
B2,38,Dratini,Uncommon,-1
B2,39,Exeggutor,Uncommon,-1
B2,40,Farfetch’d,Uncommon,-1
B2,41,Fearow,Uncommon,-1
B2,42,Growlithe,Uncommon,-1
B2,43,Haunter,Uncommon,-1
B2,44,Ivysaur,Uncommon,-1
B2,45,Jynx,Uncommon,-1
B2,46,Kadabra,Uncommon,-1
B2,47,Kakuna,Uncommon,-1
B2,48,Lickitung,Uncommon,-1
B2,49,Machoke,Uncommon,-1
B2,50,Magikarp,Uncommon,-1
B2,51,Magmar,Uncommon,-1
B2,52,Marowak,Uncommon,-1
B2,53,Nidorina,Uncommon,-1
B2,54,Nidorino,Uncommon,-1
B2,55,Parasect,Uncommon,-1
B2,56,Persian,Uncommon,-1
B2,57,Poliwhirl,Uncommon,-1
B2,58,Raticate,Uncommon,-1
B2,59,Rhydon,Uncommon,-1
B2,60,Seaking,Uncommon,-1
B2,61,Seel,Uncommon,-1
B2,62,Tauros,Uncommon,-1
B2,63,Wartortle,Uncommon,-1
B2,64,Weepinbell,Uncommon,-1
B2,65,Abra,Common,-1
B2,66,Bellsprout,Common,-1
B2,67,Bulbasaur,Common,-1
B2,68,Caterpie,Common,-1
B2,69,Charmander,Common,-1
B2,70,Cubone,Common,-1
B2,71,Diglett,Common,-1
B2,72,Doduo,Common,-1
B2,73,Drowzee,Common,-1
B2,74,Exeggcute,Common,-1
B2,75,Gastly,Common,-1
B2,76,Goldeen,Common,-1
B2,77,Jigglypuff,Common,-1
B2,78,Machop,Common,-1
B2,79,Magnemite,Common,-1
B2,80,Meowth,Common,-1
B2,81,Metapod,Common,-1
B2,82,Nidoran Female,Common,-1
B2,83,Nidoran Male,Common,-1
B2,84,Onix,Common,-1
B2,85,Paras,Common,-1
B2,86,Pidgey,Common,-1
B2,87,Pikachu,Common,-1
B2,88,Poliwag,Common,-1
B2,89,Rattata,Common,-1
B2,90,Rhyhorn,Common,-1
B2,91,Sandshrew,Common,-1
B2,92,Spearow,Common,-1
B2,93,Squirtle,Common,-1
B2,94,Starmie,Common,-1
B2,95,Staryu,Common,-1
B2,96,Tangela,Common,-1
B2,97,Venonat,Common,-1
B2,98,Voltorb,Common,-1
B2,99,Vulpix,Common,-1
B2,100,Weedle,Common,-1
B2,101,Computer Search,Rare,-1
B2,102,Imposter Professor Oak,Rare,-1
B2,103,Item Finder,Rare,-1
B2,104,Lass,Rare,-1
B2,105,Pokémon Breeder,Rare,-1
B2,106,Pokémon Trader,Rare,-1
B2,107,Scoop Up,Rare,-1
B2,108,Super Energy Removal,Rare,-1
B2,109,Defender,Uncommon,-1
B2,110,Energy Retrieval,Common,-1
B2,111,Full Heal,Uncommon,-1
B2,112,Maintenance,Uncommon,-1
B2,113,PlusPower,Uncommon,-1
B2,114,Pokémon Center,Uncommon,-1
B2,115,Pokédex,Uncommon,-1
B2,116,Professor Oak,Uncommon,-1
B2,117,Super Potion,Uncommon,-1
B2,118,Bill,Common,-1
B2,119,Energy Removal,Common,-1
B2,120,Gust of Wind,Common,-1
B2,121,Poké Ball,Common,-1
B2,122,Potion,Common,-1
B2,123,Switch,Common,-1
B2,124,Double Colorless Energy,Uncommon,-1
B2,125,Fighting Energy,,-1
B2,126,Fire Energy,,-1
B2,127,Grass Energy,,-1
B2,128,Lightning Energy,,-1
B2,129,Psychic Energy,,-1
B2,130,Water Energy,,-1
Wizards Black Star Promos,6,Arcanine,Promo,9.25
Wizards Black Star Promos,15,Cool Porygon,Promo,27.88
Wizards Black Star Promos,14,Mewtwo,Promo,8.4
Wizards Black Star Promos,13,Venusaur,Promo,94.58
Wizards Black Star Promos,9,Mew,Promo,38.49
Wizards Black Star Promos,12,Mewtwo,Promo,39.92
Wizards Black Star Promos,10,Meowth,Promo,13.18
RO,1,Dark Alakazam,Rare Holo,29.3
RO,2,Dark Arbok,Rare Holo,7.37
RO,3,Dark Blastoise,Rare Holo,85.35
RO,4,Dark Charizard,Rare Holo,156.52
RO,5,Dark Dragonite,Rare Holo,74.4
RO,6,Dark Dugtrio,Rare Holo,21.25
RO,7,Dark Golbat,Rare Holo,17.63
RO,8,Dark Gyarados,Rare Holo,32.14
RO,9,Dark Hypno,Rare Holo,22.02
RO,10,Dark Machamp,Rare Holo,30.85
RO,11,Dark Magneton,Rare Holo,23.1
RO,12,Dark Slowbro,Rare Holo,24.76
RO,13,Dark Vileplume,Rare Holo,20.67
RO,14,Dark Weezing,Rare Holo,5.38
RO,15,Here Comes Team Rocket!,Rare Holo,17.59
RO,16,Rocket’s Sneak Attack,Rare Holo,15.08
RO,17,Rainbow Energy,Rare Holo,14.12
RO,18,Dark Alakazam,Rare,6.22
RO,19,Dark Arbok,Rare,3.04
RO,20,Dark Blastoise,Rare,14.25
RO,21,Dark Charizard,Rare,40.54
RO,22,Dark Dragonite,Rare,10.44
RO,23,Dark Dugtrio,Rare,3.44
RO,24,Dark Golbat,Rare,3.51
RO,25,Dark Gyarados,Rare,6.25
RO,26,Dark Hypno,Rare,3.52
RO,27,Dark Machamp,Rare,3.13
RO,28,Dark Magneton,Rare,3.18
RO,29,Dark Slowbro,Rare,3.54
RO,30,Dark Vileplume,Rare,3.57
RO,31,Dark Weezing,Rare,2.39
RO,32,Dark Charmeleon,Uncommon,3.19
RO,33,Dark Dragonair,Uncommon,1.84
RO,34,Dark Electrode,Uncommon,1
RO,35,Dark Flareon,Uncommon,3.53
RO,36,Dark Gloom,Uncommon,0.87
RO,37,Dark Golduck,Uncommon,1.22
RO,38,Dark Jolteon,Uncommon,3.62
RO,39,Dark Kadabra,Uncommon,1
RO,40,Dark Machoke,Uncommon,0.84
RO,41,Dark Muk,Uncommon,1.17
RO,42,Dark Persian,Uncommon,0.86
RO,43,Dark Primeape,Uncommon,0.83
RO,44,Dark Rapidash,Uncommon,0.83
RO,45,Dark Vaporeon,Uncommon,2.6
RO,46,Dark Wartortle,Uncommon,1.33
RO,47,Magikarp,Uncommon,1.31
RO,48,Porygon,Uncommon,1
RO,49,Abra,Common,0.41
RO,50,Charmander,Common,0.89
RO,51,Dark Raticate,Common,0.28
RO,52,Diglett,Common,0.32
RO,53,Dratini,Common,0.37
RO,54,Drowzee,Common,0.3
RO,55,Eevee,Common,1.04
RO,56,Ekans,Common,0.38
RO,57,Grimer,Common,0.35
RO,58,Koffing,Common,0.28
RO,59,Machop,Common,0.46
RO,60,Magnemite,Common,0.44
RO,61,Mankey,Common,0.35
RO,62,Meowth,Common,0.33
RO,63,Oddish,Common,0.31
RO,64,Ponyta,Common,0.34
RO,65,Psyduck,Common,0.47
RO,66,Rattata,Common,0.47
RO,67,Slowpoke,Common,0.44
RO,68,Squirtle,Common,1.43
RO,69,Voltorb,Common,0.44
RO,70,Zubat,Common,0.33
RO,71,Here Comes Team Rocket!,Rare,3.87
RO,72,Rocket’s Sneak Attack,Rare,4.72
RO,73,The Boss’s Way,Uncommon,0.77
RO,74,Challenge!,Uncommon,0.81
RO,75,Digger,Uncommon,0.57
RO,76,Imposter Oak’s Revenge,Uncommon,0.69
RO,77,Nightly Garbage Run,Uncommon,1.07
RO,78,Goop Gas Attack,Common,0.25
RO,79,Sleep!,Common,0.28
RO,80,Rainbow Energy,Rare,4.34
RO,81,Full Heal Energy,Uncommon,0.41
RO,82,Potion Energy,Uncommon,0.68
RO,83,Dark Raichu,Rare Secret,50.02
Wizards Black Star Promos,16,Computer Error,Promo,1.68
Wizards Black Star Promos,11,Eevee,Promo,15.5
Miscellaneous,,Ancient Mew,Promo,43.27
Wizards Black Star Promos,21,Moltres,Promo,5.12
Wizards Black Star Promos,22,Articuno,Promo,5.54
Wizards Black Star Promos,23,Zapdos,Promo,6.88
Wizards Black Star Promos,17,Dark Persian,Promo,35.76
Wizards Black Star Promos,18,Team Rocket’s Meowth,Promo,5.59
G1,1,Blaine’s Moltres,Rare Holo,60.84
G1,2,Brock’s Rhydon,Rare Holo,16.32
G1,3,Erika’s Clefable,Rare Holo,20.35
G1,4,Erika’s Dragonair,Rare Holo,41.63
G1,5,Erika’s Vileplume,Rare Holo,14.19
G1,6,Lt. Surge’s Electabuzz,Rare Holo,23.35
G1,7,Lt. Surge’s Fearow,Rare Holo,24.34
G1,8,Lt. Surge’s Magneton,Rare Holo,12.26
G1,9,Misty’s Seadra,Rare Holo,19.12
G1,10,Misty’s Tentacruel,Rare Holo,14.6
G1,11,Rocket’s Hitmonchan,Rare Holo,26.5
G1,12,Rocket’s Moltres,Rare Holo,54.1
G1,13,Rocket’s Scyther,Rare Holo,44.88
G1,14,Sabrina’s Gengar,Rare Holo,150
G1,15,Brock,Rare Holo,23.07
G1,16,Erika,Rare Holo,29.88
G1,17,Lt. Surge,Rare Holo,-1
G1,18,Misty,Rare Holo,37.61
G1,19,The Rocket’s Trap,Rare Holo,16.91
G1,20,Brock’s Golem,Rare,8.06
G1,21,Brock’s Onix,Rare,4.99
G1,22,Brock’s Rhyhorn,Rare,6.84
G1,23,Brock’s Sandslash,Rare,6.29
G1,24,Brock’s Zubat,Rare,6.8
G1,25,Erika’s Clefairy,Rare,4.17
G1,26,Erika’s Victreebel,Rare,7.76
G1,27,Lt. Surge’s Electabuzz,Rare,5.05
G1,28,Lt. Surge’s Raichu,Rare,13.59
G1,29,Misty’s Cloyster,Rare,7.09
G1,30,Misty’s Goldeen,Rare,4.15
G1,31,Misty’s Poliwrath,Rare,9.67
G1,32,Misty’s Tentacool,Rare,7.06
G1,33,Rocket’s Snorlax,Rare,16.46
G1,34,Sabrina’s Venomoth,Rare,3.4
G1,35,Blaine’s Growlithe,Uncommon,1.88
G1,36,Blaine’s Kangaskhan,Uncommon,1.6
G1,37,Blaine’s Magmar,Uncommon,1.61
G1,38,Brock’s Geodude,Uncommon,1.13
G1,39,Brock’s Golbat,Uncommon,1.66
G1,40,Brock’s Graveler,Uncommon,0.81
G1,41,Brock’s Lickitung,Uncommon,1.19
G1,42,Erika’s Dratini,Uncommon,2.18
G1,43,Erika’s Exeggcute,Uncommon,1.1
G1,44,Erika’s Exeggutor,Uncommon,1.39
G1,45,Erika’s Gloom,Uncommon,0.87
G1,46,Erika’s Gloom,Uncommon,1.7
G1,47,Erika’s Oddish,Uncommon,1.31
G1,48,Erika’s Weepinbell,Uncommon,3.62
G1,49,Erika’s Weepinbell,Uncommon,1.13
G1,50,Lt. Surge’s Magnemite,Uncommon,1.11
G1,51,Lt. Surge’s Raticate,Uncommon,0.77
G1,52,Lt. Surge’s Spearow,Uncommon,0.67
G1,53,Misty’s Poliwhirl,Uncommon,1.28
G1,54,Misty’s Psyduck,Uncommon,1.38
G1,55,Misty’s Seaking,Uncommon,1.43
G1,56,Misty’s Starmie,Uncommon,1.37
G1,57,Misty’s Tentacool,Uncommon,1.04
G1,58,Sabrina’s Haunter,Uncommon,3.75
G1,59,Sabrina’s Jynx,Uncommon,1.08
G1,60,Sabrina’s Slowbro,Uncommon,1.76
G1,61,Blaine’s Charmander,Common,1.08
G1,62,Blaine’s Growlithe,Common,0.56
G1,63,Blaine’s Ponyta,Common,0.7
G1,64,Blaine’s Tauros,Common,0.63
G1,65,Blaine’s Vulpix,Common,0.8
G1,66,Brock’s Geodude,Common,0.4
G1,67,Brock’s Mankey,Common,0.41
G1,68,Brock’s Mankey,Common,0.68
G1,69,Brock’s Onix,Common,0.64
G1,70,Brock’s Rhyhorn,Common,0.4
G1,71,Brock’s Sandshrew,Common,0.43
G1,72,Brock’s Sandshrew,Common,0.88
G1,73,Brock’s Vulpix,Common,0.94
G1,74,Brock’s Zubat,Common,0.6
G1,75,Erika’s Bellsprout,Common,0.56
G1,76,Erika’s Bellsprout,Common,0.42
G1,77,Erika’s Exeggcute,Common,0.42
G1,78,Erika’s Oddish,Common,0.45
G1,79,Erika’s Tangela,Common,0.49
G1,80,Lt. Surge’s Magnemite,Common,0.44
G1,81,Lt. Surge’s Pikachu,Common,1.57
G1,82,Lt. Surge’s Rattata,Common,0.43
G1,83,Lt. Surge’s Spearow,Common,0.38
G1,84,Lt. Surge’s Voltorb,Common,0.4
G1,85,Misty’s Goldeen,Common,0.85
G1,86,Misty’s Horsea,Common,0.57
G1,87,Misty’s Poliwag,Common,0.46
G1,88,Misty’s Seel,Common,0.49
G1,89,Misty’s Shellder,Common,0.48
G1,90,Misty’s Staryu,Common,0.56
G1,91,Sabrina’s Abra,Common,0.82
G1,92,Sabrina’s Drowzee,Common,0.72
G1,93,Sabrina’s Gastly,Common,1.07
G1,94,Sabrina’s Mr. Mime,Common,0.88
G1,95,Sabrina’s Slowpoke,Common,0.77
G1,96,Sabrina’s Venonat,Common,0.52
G1,97,Blaine’s Quiz #1,Rare,5.01
G1,98,Brock,Rare,2.34
G1,99,Charity,Rare,4.67
G1,100,Erika,Rare,4.63
G1,101,Lt. Surge,Rare,2.19
G1,102,Misty,Rare,2.04
G1,103,No Removal Gym,Rare,5.95
G1,104,The Rocket’s Training Gym,Rare,6.87
G1,105,Blaine’s Last Resort,Uncommon,0.81
G1,106,Brock’s Training Method,Uncommon,0.52
G1,107,Celadon City Gym,Uncommon,0.54
G1,108,Cerulean City Gym,Uncommon,0.68
G1,109,Erika’s Maids,Uncommon,1.37
G1,110,Erika’s Perfume,Uncommon,0.66
G1,111,Good Manners,Uncommon,2.09
G1,112,Lt. Surge’s Treaty,Uncommon,0.62
G1,113,Minion of Team Rocket,Uncommon,3.04
G1,114,Misty’s Wrath,Uncommon,1.69
G1,115,Pewter City Gym,Uncommon,0.63
G1,116,Recall,Uncommon,3.55
G1,117,Sabrina’s ESP,Uncommon,2.02
G1,118,Secret Mission,Uncommon,0.69
G1,119,Tickling Machine,Uncommon,2.99
G1,120,Vermilion City Gym,Uncommon,0.61
G1,121,Blaine’s Gamble,Common,0.26
G1,122,Energy Flow,Common,0.28
G1,123,Misty’s Duel,Common,0.72
G1,124,Narrow Gym,Common,0.65
G1,125,Sabrina’s Gaze,Common,0.41
G1,126,Trash Exchange,Common,0.52
G1,127,Fighting Energy,,0.24
G1,128,Fire Energy,,1.5
G1,129,Grass Energy,,0.28
G1,130,Lightning Energy,,0.37
G1,131,Psychic Energy,,0.47
G1,132,Water Energy,,0.36
Wizards Black Star Promos,20,Psyduck,Promo,9.4
Wizards Black Star Promos,24,_____’s Pikachu,Promo,99.93
Wizards Black Star Promos,19,Sabrina’s Abra,Promo,25.59
G2,1,Blaine’s Arcanine,Rare Holo,58.43
G2,2,Blaine’s Charizard,Rare Holo,292.98
G2,3,Brock’s Ninetales,Rare Holo,40.61
G2,4,Erika’s Venusaur,Rare Holo,99.57
G2,5,Giovanni’s Gyarados,Rare Holo,51.18
G2,6,Giovanni’s Machamp,Rare Holo,34.82
G2,7,Giovanni’s Nidoking,Rare Holo,44.67
G2,8,Giovanni’s Persian,Rare Holo,21.73
G2,9,Koga’s Beedrill,Rare Holo,20.9
G2,10,Koga’s Ditto,Rare Holo,29.41
G2,11,Lt. Surge’s Raichu,Rare Holo,45.09
G2,12,Misty’s Golduck,Rare Holo,32.75
G2,13,Misty’s Gyarados,Rare Holo,69.3
G2,14,Rocket’s Mewtwo,Rare Holo,151.51
G2,15,Rocket’s Zapdos,Rare Holo,49.61
G2,16,Sabrina’s Alakazam,Rare Holo,30.48
G2,17,Blaine,Rare Holo,23.06
G2,18,Giovanni,Rare Holo,52.96
G2,19,Koga,Rare Holo,31.04
G2,20,Sabrina,Rare Holo,35.61
G2,21,Blaine’s Ninetales,Rare,11.54
G2,22,Brock’s Dugtrio,Rare,4.96
G2,23,Giovanni’s Nidoqueen,Rare,7.62
G2,24,Giovanni’s Pinsir,Rare,8.09
G2,25,Koga’s Arbok,Rare,5.16
G2,26,Koga’s Muk,Rare,5.23
G2,27,Koga’s Pidgeotto,Rare,5.6
G2,28,Lt. Surge’s Jolteon,Rare,9.68
G2,29,Sabrina’s Gengar,Rare,40.51
G2,30,Sabrina’s Golduck,Rare,5.52
G2,31,Blaine’s Charmeleon,Uncommon,2.25
G2,32,Blaine’s Dodrio,Uncommon,1.22
G2,33,Blaine’s Rapidash,Uncommon,1
G2,34,Brock’s Graveler,Uncommon,1.32
G2,35,Brock’s Primeape,Uncommon,1.73
G2,36,Brock’s Sandslash,Uncommon,1.8
G2,37,Brock’s Vulpix,Uncommon,3.39
G2,38,Erika’s Bellsprout,Uncommon,1.35
G2,39,Erika’s Bulbasaur,Uncommon,5.5
G2,40,Erika’s Clefairy,Uncommon,2.94
G2,41,Erika’s Ivysaur,Uncommon,5.44
G2,42,Giovanni’s Machoke,Uncommon,1.19
G2,43,Giovanni’s Meowth,Uncommon,1.7
G2,44,Giovanni’s Nidorina,Uncommon,1.15
G2,45,Giovanni’s Nidorino,Uncommon,1.54
G2,46,Koga’s Golbat,Uncommon,1.38
G2,47,Koga’s Kakuna,Uncommon,0.9
G2,48,Koga’s Koffing,Uncommon,0.84
G2,49,Koga’s Pidgey,Uncommon,1.71
